Ratios
0.0145138,
0.0145138,
0.011611,
0.0827286,
0.0348331,
0.0101597,
0.0275762,
0.04209,
0.107402,
0.0754717,
0.0261248,
0.0145138,
0.0711176,
0.0566038,
0.0769231,
0.140784,
0.0275762,
0.0130624,
0.0696662,
0.0827286,
